"Time","N","ProducerProportion","GenomeLength","PopulationStructure","FitnessDistribution","MigrationRate","MutationRateSocial","MutationRateTolerance","MutationRateAdaptation","ProductionCost","MinCarryingCapacity","MaxCarryingCapacity","EnvChangeFreq","Replicate"
1370,625,0.485282546785533,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1380,625,0.48433981600039,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1390,625,0.482721128621132,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1400,625,0.485819908136985,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1410,625,0.48166702394378,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1420,625,0.488268169353066,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1430,625,0.484359135802756,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1440,625,0.488027445206811,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1450,625,0.48252005670745,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1460,625,0.486087350861342,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1470,625,0.485047373394285,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1480,625,0.486278980140507,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1490,625,0.48360628122869,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1500,625,0.485339528557951,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1510,625,0.481374160133889,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1520,625,0.484168477736904,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1530,625,0.48925002021976,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1540,625,0.486949255334417,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1550,625,0.486453133473309,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1560,625,0.48510279892433,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1570,625,0.484104012674047,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1580,625,0.489342294433731,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
