"Time","N","ProducerProportion","MeanProducerProportion","GenomeLength","PopulationStructure","FitnessDistribution","MigrationRate","MutationRateSocial","MutationRateTolerance","MutationRateAdaptation","ProductionCost","MinCarryingCapacity","MaxCarryingCapacity","MixingFreq","EnvChangeFreq","Replicate"
920,1,3.79977201367918e-05,3.79977201367918e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
930,1,3.19980801151931e-05,3.19980801151931e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
940,1,1e-05,1e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
950,1,0.00014197047014221,0.00014197047014221,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
960,1,0.000147973660688397,0.000147973660688397,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
970,1,0.000157962089098616,0.000157962089098616,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
980,1,4.99970001799892e-05,4.99970001799892e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
990,1,0.000119982242628091,0.000119982242628091,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1000,1,0.00020791974297921,0.00020791974297921,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1010,1,0.000221927207875817,0.000221927207875817,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1020,1,0.000211930486800329,0.000211930486800329,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1030,1,8.99893812530121e-05,8.99893812530121e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1040,1,0.000283856936104203,0.000283856936104203,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1050,1,0.000217921983929753,0.000217921983929753,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1060,1,0.000161970845247855,0.000161970845247855,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1070,1,0.000213930258735652,0.000213930258735652,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1080,1,0.00010997712475805,0.00010997712475805,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
