"Time","N","MeanProducerProportion","GenomeLength","PopulationStructure","FitnessDistribution","MigrationRate","MutationRateSocial","MutationRateTolerance","MutationRateAdaptation","ProductionCost","MinCarryingCapacity","MaxCarryingCapacity","EnvChangeFreq","Replicate"
820,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
830,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
840,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
850,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
860,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
870,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
880,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
890,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
900,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
910,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
920,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
930,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
940,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
950,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
960,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
970,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
980,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
990,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1000,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1010,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1020,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1030,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1040,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1050,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1060,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1070,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1080,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1090,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1100,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1110,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1120,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1130,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1140,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1150,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1160,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1170,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1180,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1190,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1200,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1210,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1220,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1230,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1240,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1250,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1260,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1270,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1280,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1290,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1300,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1310,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1320,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1330,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1340,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1350,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1360,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1370,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1380,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1390,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1400,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1410,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1420,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1430,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1440,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1450,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1460,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1470,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1480,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1490,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1500,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1510,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1520,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1530,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1540,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1550,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1560,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1570,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1580,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1590,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1600,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1610,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1620,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1630,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1640,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1650,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1660,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1670,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1680,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1690,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1700,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1710,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1720,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1730,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1740,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1750,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1760,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1770,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1780,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1790,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1800,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1810,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1820,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1830,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1840,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1850,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1860,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1870,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1880,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1890,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1900,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1910,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1920,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1930,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1940,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1950,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1960,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1970,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1980,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
1990,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2000,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2010,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2020,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2030,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2040,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2050,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2060,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2070,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2080,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2090,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2100,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2110,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2120,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2130,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
